"year","make","model"
"2015","ACURA","ILX"
"2015","ACURA","MDX"
"2015","ACURA","RDX"
"2015","ACURA","RLX"
"2015","ACURA","TLX"
"2015","ALFA ROMEO","4C"
"2015","ALFA ROMEO","MITO"
"2015","ARCTIC CAT","BEARCAT 2000 LT"
"2015","ARCTIC CAT","BEARCAT 2000 XT"
"2015","ARCTIC CAT","BEARCAT 2000 XTE"
"2015","ARCTIC CAT","BEARCAT 5000 XT"
"2015","ARCTIC CAT","BEARCAT 5000 XT GS"
"2015","ARCTIC CAT","BEARCAT 5000 XT LIMITED"
"2015","ARCTIC CAT","LYNX 2000"
"2015","ARCTIC CAT","LYNX 2000 LT"
"2015","ARCTIC CAT","M 6000 153"
"2015","ARCTIC CAT","M 6000 SNO PRO 153"
"2015","ARCTIC CAT","M 8000 153"
"2015","ARCTIC CAT","M 8000 DAVID MCCLURE SE"
"2015","ARCTIC CAT","M 8000 HCR 153"
"2015","ARCTIC CAT","M 8000 LIMITED 153"
"2015","ARCTIC CAT","M 8000 LIMITED 162"
"2015","ARCTIC CAT","M 8000 LIMITED ES 153"
"2015","ARCTIC CAT","M 8000 LIMITED ES 162"
"2015","ARCTIC CAT","M 8000 ROB KINCAID SE"
"2015","ARCTIC CAT","M 8000 SNO PRO 153"
"2015","ARCTIC CAT","M 8000 SNO PRO 162"
"2015","ARCTIC CAT","M 9000 HCR 162"
"2015","ARCTIC CAT","M 9000 LIMITED 162"
"2015","ARCTIC CAT","XF 6000 CROSS COUNTRY"
"2015","ARCTIC CAT","XF 6000 CROSSTOUR"
"2015","ARCTIC CAT","XF 6000 HIGH COUNTRY"
"2015","ARCTIC CAT","XF 6000 LIMITED"
"2015","ARCTIC CAT","XF 6000 LXR"
"2015","ARCTIC CAT","XF 6000 SNO PRO"
"2015","ARCTIC CAT","XF 8000 CROSS COUNTRY"
"2015","ARCTIC CAT","XF 8000 CROSS COUNTRY LIMITED"
"2015","ARCTIC CAT","XF 8000 CROSSTOUR"
"2015","ARCTIC CAT","XF 8000 HIGH COUNTRY"
"2015","ARCTIC CAT","XF 8000 HIGH COUNTRY LIMITED"
"2015","ARCTIC CAT","XF 8000 LIMITED"
"2015","ARCTIC CAT","XF 8000 LXR"
"2015","ARCTIC CAT","XF 8000 SNO PRO"
"2015","ARCTIC CAT","XF 9000 CROSS COUNTRY"
"2015","ARCTIC CAT","XF 9000 CROSS COUNTRY LIMITED"
"2015","ARCTIC CAT","XF 9000 CROSSTOUR"
"2015","ARCTIC CAT","XF 9000 HIGH COUNTRY"
"2015","ARCTIC CAT","XF 9000 HIGH COUNTRY LIMITED"
"2015","ARCTIC CAT","XF 9000 LIMITED"
"2015","ARCTIC CAT","XF 9000 LXR"
"2015","ARCTIC CAT","XF 9000 SNO PRO"
"2015","ARCTIC CAT","ZR 4000 LXR"
"2015","ARCTIC CAT","ZR 4000 RR"
"2015","ARCTIC CAT","ZR 5000 LXR"
"2015","ARCTIC CAT","ZR 6000 EL TIGRE"
"2015","ARCTIC CAT","ZR 6000 LIMITED"
"2015","ARCTIC CAT","ZR 6000 LXR"
"2015","ARCTIC CAT","ZR 6000 RR"
"2015","ARCTIC CAT","ZR 6000 SNO PRO"
"2015","ARCTIC CAT","ZR 6000 TUCKER HIBBERT RR"
"2015","ARCTIC CAT","ZR 8000 EL TIGRE"
"2015","ARCTIC CAT","ZR 8000 LIMITED"
"2015","ARCTIC CAT","ZR 8000 LXR"
"2015","ARCTIC CAT","ZR 8000 SNO PRO"
"2015","ARCTIC CAT","ZR 9000 EL TIGRE"
"2015","ARCTIC CAT","ZR 9000 LIMITED"
"2015","ARCTIC CAT","ZR 9000 LXR"
"2015","ARCTIC CAT","ZR 9000 RR"
"2015","ARCTIC CAT","ZR 9000 SNO PRO"
"2015","AUDI","A1"
"2015","AUDI","A3"
"2015","AUDI","A3 QUATTRO"
"2015","AUDI","A4"
"2015","AUDI","A4 ALLROAD"
"2015","AUDI","A4 QUATTRO"
"2015","AUDI","A5"
"2015","AUDI","A5 QUATTRO"
"2015","AUDI","A6"
"2015","AUDI","A6 QUATTRO"
"2015","AUDI","A7 QUATTRO"
"2015","AUDI","A8"
"2015","AUDI","A8 QUATTRO"
"2015","AUDI","ALLROAD"
"2015","AUDI","Q3"
"2015","AUDI","Q3 QUATTRO"
"2015","AUDI","Q5"
"2015","AUDI","Q7"
"2015","AUDI","R8"
"2015","AUDI","RS5"
"2015","AUDI","RS7"
"2015","AUDI","S3"
"2015","AUDI","S4"
"2015","AUDI","S5"
"2015","AUDI","S6"
"2015","AUDI","S7"
"2015","AUDI","S8"
"2015","AUDI","SQ5"
"2015","AUDI","TT QUATTRO"
"2015","BENTLEY","CONTINENTAL"
"2015","BENTLEY","MULSANNE"
"2015","BERTONE","X-1/9"
"2015","BMW","118I"
"2015","BMW","220I"
"2015","BMW","228I"
"2015","BMW","228I XDRIVE"
"2015","BMW","320I"
"2015","BMW","320I XDRIVE"
"2015","BMW","328D"
"2015","BMW","328D XDRIVE"
"2015","BMW","328I"
"2015","BMW","328I GT XDRIVE"
"2015","BMW","328I XDRIVE"
"2015","BMW","335I"
"2015","BMW","335I GT XDRIVE"
"2015","BMW","335I XDRIVE"
"2015","BMW","428I"
"2015","BMW","428I GRAN COUPE"
"2015","BMW","428I XDRIVE"
"2015","BMW","428I XDRIVE GRAN COUPE"
"2015","BMW","435I"
"2015","BMW","435I GRAN COUPE"
"2015","BMW","435I XDRIVE"
"2015","BMW","435I XDRIVE GRAN COUPE"
"2015","BMW","520I"
"2015","BMW","528I"
"2015","BMW","528I XDRIVE"
"2015","BMW","535D"
"2015","BMW","535D XDRIVE"
"2015","BMW","535I"
"2015","BMW","535I GT"
"2015","BMW","535I GT XDRIVE"
"2015","BMW","535I XDRIVE"
"2015","BMW","550I"
"2015","BMW","550I GT"
"2015","BMW","550I GT XDRIVE"
"2015","BMW","550I XDRIVE"
"2015","BMW","640I"
"2015","BMW","640I GRAN COUPE"
"2015","BMW","640I XDRIVE"
"2015","BMW","640I XDRIVE GRAN COUPE"
"2015","BMW","650I"
"2015","BMW","650I GRAN COUPE"
"2015","BMW","650I XDRIVE"
"2015","BMW","650I XDRIVE GRAN COUPE"
"2015","BMW","740I"
"2015","BMW","740LD XDRIVE"
"2015","BMW","740LD XDRVIE"
"2015","BMW","740LI"
"2015","BMW","740LI XDRIVE"
"2015","BMW","750I"
"2015","BMW","750I XDRIVE"
"2015","BMW","750LI"
"2015","BMW","750LI XDRIVE"
"2015","BMW","760LI"
"2015","BMW","ACTIVEHYBRID 3"
"2015","BMW","ACTIVEHYBRID 5"
"2015","BMW","ACTIVEHYBRID 7"
"2015","BMW","ALPINA B6 XDRIVE GRAN COUPE"
"2015","BMW","ALPINA B7"
"2015","BMW","ALPINA B7 XDRIVE"
"2015","BMW","ALPINA B7L"
"2015","BMW","ALPINA B7L XDRIVE"
"2015","BMW","I3"
"2015","BMW","I8"
"2015","BMW","M135I"
"2015","BMW","M235I"
"2015","BMW","M235I XDRIVE"
"2015","BMW","M3"
"2015","BMW","M4"
"2015","BMW","M5"
"2015","BMW","M6"
"2015","BMW","M6 GRAN COUPE"
"2015","BMW","X1"
"2015","BMW","X3"
"2015","BMW","X4"
"2015","BMW","X5"
"2015","BMW","X6"
"2015","BMW","Z4"
"2015","BUICK","ENCLAVE"
"2015","BUICK","ENCORE"
"2015","BUICK","LACROSSE"
"2015","BUICK","REGAL"
"2015","BUICK","VERANO"
"2015","BUICK","WILDCAT"
"2015","CADILLAC","ATS"
"2015","CADILLAC","CTS"
"2015","CADILLAC","ELR"
"2015","CADILLAC","ESCALADE"
"2015","CADILLAC","ESCALADE ESV"
"2015","CADILLAC","SRX"
"2015","CADILLAC","XTS"
"2015","CHEVROLET","AVEO"
"2015","CHEVROLET","CAMARO"
"2015","CHEVROLET","CAPRICE"
"2015","CHEVROLET","CAPTIVA SPORT"
"2015","CHEVROLET","CITY EXPRESS"
"2015","CHEVROLET","COLORADO"
"2015","CHEVROLET","CORVETTE"
"2015","CHEVROLET","CRUZE"
"2015","CHEVROLET","EQUINOX"
"2015","CHEVROLET","EXPRESS 2500"
"2015","CHEVROLET","EXPRESS 3500"
"2015","CHEVROLET","EXPRESS 4500"
"2015","CHEVROLET","EXPRESS CARGO"
"2015","CHEVROLET","EXPRESS PASAJEROS"
"2015","CHEVROLET","IMPALA"
"2015","CHEVROLET","IMPALA LIMITED"
"2015","CHEVROLET","MALIBU"
"2015","CHEVROLET","SILVERADO 1500"
"2015","CHEVROLET","SILVERADO 2500"
"2015","CHEVROLET","SILVERADO 2500 HD"
"2015","CHEVROLET","SILVERADO 3500"
"2015","CHEVROLET","SILVERADO 3500 HD"
"2015","CHEVROLET","SONIC"
"2015","CHEVROLET","SPARK"
"2015","CHEVROLET","SPARK EV"
"2015","CHEVROLET","SS"
"2015","CHEVROLET","SUBURBAN"
